Date,Icon,Conditions,Max Temp (°F),Min Temp (°F),Precip (%),Humidity (%)
2026-02-04,❄️,Very cold,28.8,14.2,24,83
2026-02-05,❄️,Very cold,29.1,16.8,4,81
2026-02-06,🌦,Chance of showers,34.9,15.8,32,77
2026-02-07,☁️,Cold & cloudy,38.2,16.4,1,90
2026-02-08,☁️,Cloudy & cool,47.8,18.7,0,75
2026-02-09,☁️,Cloudy & cool,52.0,19.2,0,74
2026-02-10,☁️,Cloudy & cool,50.2,16.9,0,75
2026-02-11,🌧,Chilly with showers,46.1,19.1,22,58
2026-02-12,☁️,Cloudy & cool,45.6,21.0,10,63
2026-02-13,🌦,Chance of showers,45.8,22.8,44,71
2026-02-14,☁️,Cloudy & cool,48.1,23.3,0,90
2026-02-15,⛅,Cool with clouds,56.8,21.8,8,77
2026-02-16,🌧,Chilly with showers,48.3,21.5,27,66
2026-02-17,❄️,Very cold,28.2,24.3,15,70
2026-02-18,❄️,Very cold,30.1,24.3,11,66
2026-02-19,☁️,Cold & cloudy,39.6,22.0,0,66
2026-02-20,☁️,Cloudy & cool,42.6,21.6,0,71
2026-02-21,🌦,Chance of showers,41.4,20.9,38,71
2026-02-22,🌧,Chilly with showers,46.9,22.6,23,69
2026-02-23,☁️,Cloudy & cool,45.6,30.0,5,56
2026-02-24,☁️,Cloudy & cool,45.0,33.2,14,74
2026-02-25,☁️,Cloudy & cool,46.8,36.1,0,74
2026-02-26,⛅,Cool with clouds,56.5,40.0,21,77
