Date,Icon,Conditions,Max Temp (°F),Min Temp (°F),Precip (%),Humidity (%)
2026-02-11,☁️,Cloudy & cool,40.1,17.7,14,63
2026-02-12,☁️,Cloudy & cool,41.3,18.8,0,62
2026-02-13,☁️,Cloudy & cool,43.7,21.4,7,68
2026-02-14,🌧,Chilly with showers,46.1,23.7,24,80
2026-02-15,⛅,Cool with clouds,56.2,21.8,17,73
2026-02-16,🌧,Chilly with showers,48.2,20.3,26,65
2026-02-17,❄️,Very cold,29.0,23.3,17,78
2026-02-18,❄️,Very cold,30.1,24.0,0,69
2026-02-19,☁️,Cold & cloudy,38.4,21.7,10,69
2026-02-20,☁️,Cloudy & cool,40.3,20.9,6,76
2026-02-21,🌦,Chance of showers,39.9,20.4,35,78
2026-02-22,🌧,Chilly with showers,47.0,22.6,22,71
2026-02-23,☁️,Cloudy & cool,45.9,31.2,10,67
2026-02-24,☁️,Cloudy & cool,44.3,33.4,0,74
2026-02-25,☁️,Cloudy & cool,45.5,34.2,0,73
2026-02-26,⛅,Cool with clouds,56.8,37.9,26,72
