Date,Icon,Conditions,Max Temp (°F),Min Temp (°F),Precip (%),Humidity (%)
2026-02-04,❄️,Very cold,23.8,12.9,14,78
2026-02-05,❄️,Very cold,24.7,15.2,12,73
2026-02-06,☁️,Cold & cloudy,35.0,16.1,12,73
2026-02-07,☁️,Cloudy & cool,42.4,18.4,15,87
2026-02-08,☁️,Cloudy & cool,50.8,19.6,15,76
2026-02-09,☁️,Cloudy & cool,48.9,18.1,12,80
2026-02-10,☁️,Cloudy & cool,41.9,14.9,7,80
2026-02-11,☁️,Cloudy & cool,42.5,16.4,12,60
2026-02-12,☁️,Cloudy & cool,46.9,20.2,20,59
2026-02-13,🌦,Chance of showers,45.3,25.3,38,70
2026-02-14,☁️,Cloudy & cool,45.9,28.6,0,85
2026-02-15,⛅,Cool with clouds,56.0,24.8,0,76
2026-02-16,🌧,Chilly with showers,51.1,21.0,21,65
2026-02-17,❄️,Very cold,26.9,23.2,0,74
2026-02-18,❄️,Very cold,26.6,23.1,20,59
2026-02-19,☁️,Cold & cloudy,36.7,19.8,0,70
2026-02-20,☁️,Cloudy & cool,40.1,21.4,0,83
2026-02-21,☁️,Cold & cloudy,39.9,23.6,0,74
2026-02-22,☁️,Cloudy & cool,45.6,25.7,5,75
2026-02-23,☁️,Cloudy & cool,44.1,32.6,18,59
2026-02-24,☁️,Cloudy & cool,44.6,34.9,0,64
2026-02-25,☁️,Cloudy & cool,50.9,35.5,0,69
2026-02-26,🌦,Chance of showers,61.5,38.6,31,91
